Date,Open,High,Low,Close,Volume,OpenInt
20110804,19,19.95,18.05,19.2,48504,0
20110805,17.05,19.2,15.62,19.19,33950,0
20110808,17.55,18.45,17.55,17.85,10805,0
20110809,16.65,17.35,16.65,17,123980,0
20110810,16.63,17.99,16.35,16.4,39052,0
20110811,16.3,16.84,15.24,15.55,89531,0
20110812,16.3,16.3,14.7,15,57092,0
20110816,15.75,16.5,15.25,16.25,43574,0
20110817,16.75,17.09,16.26,17.09,3144,0
20110818,17.01,17.01,16.2,16.47,16460,0
20110819,16,16.89,16,16.89,9966,0
20110822,16.89,17.89,16.89,17.89,6553,0
20110823,18,19.2,18,19,11773,0
20110824,19.5,19.6,19.25,19.5,8414,0
20110825,19.7,20,19.6,19.7,24550,0
20110826,19.05,19.95,19.05,19.95,14766,0
20110829,20,20.85,19.95,20.85,22271,0
20110830,20.8,21.33,20.8,21.15,18104,0
20110831,21.99,21.99,21.15,21.3,13485,0
20110901,21.29,21.29,20.8,20.8,15362,0
20110902,19.7,20.7,19.7,20,25466,0
20110905,19.9,19.9,19,19.75,5501,0
20110906,19.2,20.4,19.2,20,22200,0
20110907,20.45,20.45,19.86,20.15,1412,0
20110908,20.15,20.15,19.25,19.8,1908,0
20110909,19.75,19.75,19.26,19.7,296,0
20110912,19.64,19.64,18.8,19.43,261,0
20110913,19.75,19.75,19.75,19.75,1,0
20110914,19.68,20.1,19.68,20,16695,0
20110915,21.45,21.7,21,21.2,10451,0
20110916,21.55,21.95,21.4,21.89,11616,0
20110919,21.95,21.95,21.35,21.4,3109,0
20110920,21.4,21.95,21.4,21.95,6884,0
20110921,21.77,22.7,21.77,22.7,11315,0
20110922,22.6,22.6,21,21.4,9229,0
20110923,21,21.65,21,21.65,7692,0
20110926,21.52,22.5,21.52,22,11515,0
20110927,22.69,22.99,22.5,22.85,106516,0
20110928,22.4,24.16,22.4,24.15,25760,0
20110929,24.32,26.25,22.8,23.5,37676,0
20110930,23.5,24.15,22.8,23.93,62311,0
20111003,23.37,24,23.37,23.89,1423,0
20111004,23.7,23.7,22.22,22.5,1528,0
20111005,22.05,23.5,21.4,23.15,65682,0
20111006,23.75,23.75,23.7,23.73,6155,0
20111007,23.75,24.4,23.6,24.25,10415,0
20111010,24.5,24.7,24.01,24.64,53976,0
20111011,24.55,24.95,24.55,24.75,112078,0
20111012,25,25.15,25,25.15,49519,0
20111013,25,25.2,24.96,25,66105,0
20111014,25,25.1,24.5,25.1,279,0
20111017,25.1,25.1,23.5,24.39,6675,0
20111018,23.82,25,23.65,24.1,884,0
20111019,24.5,24.5,23.12,23.25,7854,0
20111020,22.9,22.9,22.05,22.63,8170,0
20111021,22.9,23.75,22.9,23.75,3323,0
20111024,24.48,24.48,23.1,24,1526,0
20111025,24,24.05,24,24.05,12436,0
20111026,24,24.1,23.51,24.1,772,0
20111027,24.3,24.45,23.5,24.45,11957,0
20111028,24.7,24.7,24,24,543,0
20111031,24,24.23,23.95,24.23,523,0
20111102,23.05,24.23,23.05,24.22,2651,0
20111103,25.24,25.24,24.9,24.9,1886,0
20111104,24.7,24.7,24,24.64,4886,0
20111107,23.81,24.5,23.81,24.25,4141,0
20111108,24.3,24.3,24,24,1180,0
20111109,24,24.2,24,24.2,14835,0
20111110,24.1,24.1,23.9,24,237,0
20111114,24,24.3,24,24.2,178,0
20111115,24.2,24.2,23.5,24,1573,0
20111116,24,24,23.36,23.47,358,0
20111117,24,24,22.55,22.7,2644,0
20111118,22.47,23.4,22.47,23.4,8252,0
20111121,23.4,23.4,22.51,22.89,1640,0
20111122,22.5,23.1,22.5,23.1,2936,0
